description,image_url,price
Gold Kundan Pearl Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00044/1.jpg, 2375
Gold Kundan Aqua Stone Floral Pendant Necklace Set,https://img.faballey.com/Images/Product/ZNS00062/1.jpg, 1475
White Blue Diamond Drop String Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00031/1.jpg, 2875
Dual Gold Kundan Green Bead Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00055/1.jpg, 1750
White Diamond Floral Bunch Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00032/1.jpg, 2750
Gold Kundan Multi Pearl String Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00048/1.jpg, 2000
Gold Red Kundan Bead Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00003/1.jpg, 1600
Gold Round Kundan Pearl Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00035/1.jpg, 1750
Gold Textured Contemporary Choker Necklace Set,https://img.faballey.com/Images/Product/ZNS00070/1.jpg, 1100
Gold Kundan Earring Pearl String Pendant Necklace Set,https://img.faballey.com/Images/Product/ZNS00008/1.jpg, 1500
Gold Kundan Multicolor Stone Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00053/1.jpg, 2000
Gold Kundan Mangtika Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00002/1.jpg, 3500
Blue Bead Kundan Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00050/1.jpg, 1750
Gold Kundan Pear Dainty Drop Earrings Necklace Set,https://img.faballey.com/Images/Product/ZNS00046/1.jpg, 1750
Gold Green Kundan Floral Pendant Necklace Set,https://img.faballey.com/Images/Product/ZNS00063/1.jpg, 2100
Gold Leaf Kundan Double Pearl Earrings Necklace Set,https://img.faballey.com/Images/Product/ZNS00045/1.jpg, 1750
Gold Kundan Blue Bead Pearl Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00042/1.jpg, 1750
Gold Orb Kundan Double Pearl Earrings Necklace Set,https://img.faballey.com/Images/Product/ZNS00051/1.jpg, 1750
Gold Kundan Cascade Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00039/1.jpg, 2250
Rose Gold Plated Crystal Necklace Set,https://img.faballey.com/Images/Product/ZNS00064/1.jpg, 2450
White Diamond Aqua Drop Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00013/1.jpg, 2450
Gold Kundan Green Drop Double Orb Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00038/1.jpg, 2250
Gold Green Kundan Bead Drop Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00018/1.jpg, 3750
Gold Kundan Green Bead String Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00049/1.jpg, 2000
Gold Kundan Red Drop Meena Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00054/1.jpg, 2250
Gold Kundan Dual Pearl Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00052/1.jpg, 2000
Gold Kundan Green Drop Pearl Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00047/1.jpg, 1750
Gold Maroon Kundan Floral Necklace Set,https://img.faballey.com/Images/Product/ZNS00058/1.jpg, 2250
Silver Oxidized Green Stone Star Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00021/1.jpg, 1750
Dual Gold Kundan Pearl Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00056/1.jpg, 2000
Gold Kundan Tukdi Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00007/1.jpg, 2500
White Blue Diamond Earring Pendant Necklace Set,https://img.faballey.com/Images/Product/ZNS00011/1.jpg, 2625
Gold Kundan Blue Bead Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00041/1.jpg, 1750
Gold Kundan Pearl Drop Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00017/1.jpg, 2375
Gold Bead Cluster Earring Neckace Set,https://img.faballey.com/Images/Product/ZNS00034/1.jpg, 1800
Multi Gold Kundan Red Meena Beaded Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00057/1.jpg, 1750
Green Enamal Kundan Petal Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00024/1.jpg, 1750
Green Bead Kundan Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00043/1.jpg, 1750
Gold Kundan Red White Bead Earrimg Necklace Set,https://img.faballey.com/Images/Product/ZNS00036/1.jpg, 1750
Gold Kundan Pearl Drop Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00040/1.jpg, 1750
Gold Kundan Single Orb Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00010/1.jpg, 2900
Dual Toned Oxidized Triangular Earrings Necklace Set,https://img.faballey.com/Images/Product/ZNS00020/1.jpg, 1900
